order_name,family_name,avibase_id,ebird_species_code,common_name,scientific_name,birds_of_the_world_url,current_body_mass_g,body_mass_g,note
Apodiformes,Trochilidae,AVIBASE-7D8643AF,stream3,Black-billed Streamertail,Trochilus scitulus,https://birdsoftheworld.org/bow/species/stream3/,,,
Apodiformes,Trochilidae,AVIBASE-10787A38,braeme2,Brace's Emerald,Riccordia bracei,https://birdsoftheworld.org/bow/species/braeme2/,,,
Apodiformes,Trochilidae,AVIBASE-B6547FA5,gnbhum2,Copper-tailed Hummingbird,Saucerottia cupreicauda,https://birdsoftheworld.org/bow/species/gnbhum2/,,,
Apodiformes,Trochilidae,AVIBASE-D58197D4,gobsta4,Golden-tailed Starfrontlet,Coeligena eos,https://birdsoftheworld.org/bow/species/gobsta4/,,,
Apodiformes,Trochilidae,AVIBASE-3DC76B80,colinc3,Gould's Inca,Coeligena inca,https://birdsoftheworld.org/bow/species/colinc3/,,,
Apodiformes,Trochilidae,AVIBASE-507994F5,colinc4,Green Inca,Coeligena conradii,https://birdsoftheworld.org/bow/species/colinc4/,,,
Apodiformes,Trochilidae,AVIBASE-7AA56690,amtsun2,Longuemare's Sunangel,Heliangelus clarisse,https://birdsoftheworld.org/bow/species/amtsun2/,,,
Apodiformes,Trochilidae,AVIBASE-DA50B42A,amtsun4,Merida Sunangel,Heliangelus spencei,https://birdsoftheworld.org/bow/species/amtsun4/,,,
Apodiformes,Trochilidae,AVIBASE-ED9636C0,gobsta2,Perija Starfrontlet,Coeligena consita,https://birdsoftheworld.org/bow/species/gobsta2/,,,
Apodiformes,Trochilidae,AVIBASE-A0A70C2E,boorat2,Peruvian Racket-tail,Ocreatus peruanus,https://birdsoftheworld.org/bow/species/boorat2/,,,
Apodiformes,Trochilidae,AVIBASE-3C70A96A,antman3,Puerto Rican Mango,Anthracothorax aurulentus,https://birdsoftheworld.org/bow/species/antman3/,,,
Apodiformes,Trochilidae,AVIBASE-8DF99F2B,rubrat1,Rufous-booted Racket-tail,Ocreatus addae,https://birdsoftheworld.org/bow/species/rubrat1/,,,
Apodiformes,Trochilidae,AVIBASE-74CFA678,brbhum3,Tres Marias Hummingbird,Cynanthus lawrencei,https://birdsoftheworld.org/bow/species/brbhum3/,,,
Bucerotiformes,Bucerotidae,AVIBASE-23FEF54E,bkdhor2,Eastern Dwarf Hornbill,Horizocerus granti,https://birdsoftheworld.org/bow/species/bkdhor2/,,,
Bucerotiformes,Bucerotidae,AVIBASE-EBFEDFB3,whchor4,Eastern Long-tailed Hornbill,Horizocerus cassini,https://birdsoftheworld.org/bow/species/whchor4/,,,
