order_name,family_name,is_areal,avibase_id,ebird_species_code,birds_of_the_world_url,common_name,scientific_name,soi_number_loggers_approx_raw,body_mass_g,tagged_previously
Apodiformes,Apodidae,True,AVIBASE-DEE4829A,afrswi1,https://birdsoftheworld.org/bow/species/afrswi1/,African Black Swift,Apus barbatus,,42.8,
Apodiformes,Apodidae,True,AVIBASE-DA106373,afpswi1,https://birdsoftheworld.org/bow/species/afpswi1/,African Palm Swift,Cypsiurus parvus,,13.6,
Apodiformes,Trochilidae,True,AVIBASE-C25794D5,allhum,https://birdsoftheworld.org/bow/species/allhum/,Allen's Hummingbird,Selasphorus sasin,,3.4,
Apodiformes,Apodidae,True,AVIBASE-FA1CAD29,alpswi1,https://birdsoftheworld.org/bow/species/alpswi1/,Alpine Swift,Tachymarptis melba,>150,100.4,multi-sensor
Apodiformes,Trochilidae,True,AVIBASE-62AFA922,amahum1,https://birdsoftheworld.org/bow/species/amahum1/,Amazilia Hummingbird,Amazilis amazilia,,4.3,
Apodiformes,Apodidae,True,AVIBASE-6F1B12CA,palswi2,https://birdsoftheworld.org/bow/species/palswi2/,Ameline Swiftlet,Aerodramus amelis,,10.7,
Apodiformes,Apodidae,True,AVIBASE-7FB66FEB,blkswi,https://birdsoftheworld.org/bow/species/blkswi/,American Black Swift,Cypseloides niger,7.0,39.7,multi-sensor
Apodiformes,Trochilidae,True,AVIBASE-0431F843,amewoo1,https://birdsoftheworld.org/bow/species/amewoo1/,Amethyst Woodstar,Calliphlox amethystina,,2.8,
Apodiformes,Trochilidae,True,AVIBASE-474AA2CF,amthum1,https://birdsoftheworld.org/bow/species/amthum1/,Amethyst-throated Mountaingem,Lampornis amethystinus,,5.2,
Apodiformes,Trochilidae,True,AVIBASE-D9EBF49B,amtsun3,https://birdsoftheworld.org/bow/species/amtsun3/,Amethyst-throated Sunangel,Heliangelus amethysticollis,,5.0,
Apodiformes,Trochilidae,True,AVIBASE-3FFAFC07,andeme1,https://birdsoftheworld.org/bow/species/andeme1/,Andean Emerald,Uranomitra franciae,,5.0,
Apodiformes,Trochilidae,True,AVIBASE-0DA1CA5D,andhil3,https://birdsoftheworld.org/bow/species/andhil3/,Andean Hillstar,Oreotrochilus estella,,8.1,
Apodiformes,Apodidae,True,AVIBASE-B9CF96D5,andswi1,https://birdsoftheworld.org/bow/species/andswi1/,Andean Swift,Aeronautes andecolus,,17.6,
Apodiformes,Trochilidae,True,AVIBASE-42393721,annhum,https://birdsoftheworld.org/bow/species/annhum/,Anna's Hummingbird,Calypte anna,,4.2,
